3.591646,0.665842,3.499993
3.964995,0.867958,3.457353
4.334930,1.076799,3.426401
4.707979,1.284640,3.459698
5.085803,1.486473,3.428663
5.455313,1.697535,3.462120
5.820829,1.922236,3.477007
6.181456,2.150739,3.486809
6.534065,2.377992,3.456130
6.729424,2.507188,3.100339
6.823402,2.566143,2.591366
7.068632,2.777625,2.598997
7.229407,3.041952,2.887665
7.351722,3.346848,3.162730
7.411351,3.726637,3.328999
7.465120,4.152665,3.336921
7.476979,4.569475,3.299908
7.390625,4.979307,3.401131
7.253139,5.381401,3.438048
7.133091,5.688171,3.158468
7.003188,5.954316,2.850248
6.819484,6.273038,2.631285
6.569748,6.569230,2.792487
6.297190,6.724883,3.072536
5.927563,6.878538,3.240595
5.518272,6.979897,3.210712
5.142140,7.016939,3.024583
4.721823,6.950006,3.096213
4.336267,6.774893,3.150873
4.002323,6.516727,3.220468
3.762158,6.187396,3.344176
3.533829,5.813102,3.433700
3.400215,5.565678,3.217742
3.300614,5.347788,2.782703
3.209636,5.004239,2.787714
3.212372,4.669193,3.065726
3.200790,4.283122,3.248539
3.153585,3.859522,3.261565
3.028138,3.478115,3.114383
2.833317,3.107722,3.031189
2.524298,2.809155,3.018120
2.171339,2.624787,3.156951
1.785060,2.555608,3.320048
1.351663,2.544120,3.399520
0.993200,2.541854,3.273713
0.736872,2.548177,2.917744
0.365698,2.617821,3.079402
0.003417,2.787944,3.201385
-0.354405,2.995298,3.091724
-0.740730,3.127814,3.235833
-1.145571,3.171824,3.361385
-1.569764,3.167532,3.421942
-1.993512,3.120520,3.459799
-2.407772,3.012547,3.477806
-2.817038,2.886331,3.487715
-3.219326,2.739067,3.493458
-3.621620,2.591673,3.496373
-4.014875,2.422367,3.497913
-4.390695,2.216576,3.498819
-4.754989,1.991050,3.499264
-5.116461,1.762038,3.501004
-5.481841,1.534821,3.492802
-5.832271,1.337109,3.339599
-6.170480,1.138294,3.271810
-6.561078,0.977555,3.379894
-6.921064,0.853743,3.259778
-7.199427,0.707647,2.969697
-7.478951,0.434055,3.149160
-7.681641,0.065205,3.234585
-7.835293,-0.333106,3.223331
-7.882730,-0.751340,3.295468
-7.832437,-1.166836,3.382667
-7.738383,-1.581558,3.434529
-7.635141,-1.996131,3.463886
-7.517877,-2.407621,3.478934
-7.377850,-2.812188,3.473297
-7.225877,-3.141504,3.258918
-7.086107,-3.366480,2.879989
-6.822406,-3.630337,2.923893
-6.520456,-3.766307,3.176983
-6.101176,-3.841556,3.255142
-5.693080,-3.800866,3.375482
-5.281928,-3.693890,3.429651
-4.878213,-3.553759,3.459094
-4.475939,-3.407717,3.477842
-4.086232,-3.229923,3.487514
-3.701876,-3.040755,3.492587
-3.315708,-2.855274,3.495996
-2.935480,-2.657861,3.497730
-2.550746,-2.469346,3.498568
-2.169559,-2.273800,3.499301
-1.786501,-2.081935,3.499621
-1.403125,-1.890704,3.499806
-1.019150,-1.700570,3.499887
-0.645199,-1.491664,3.499942
-0.267964,-1.288566,3.499961
0.111931,-1.090511,3.499977
0.494299,-0.897274,3.499988
0.875995,-0.702816,3.499994
1.260937,-0.514748,3.499996
1.641725,-0.318749,3.499998
2.017936,-0.113653,3.500000
2.398241,0.083554,3.500003
2.788858,0.259610,3.499974
3.172975,0.449314,3.500157
3.556284,0.640564,3.498323
3.931589,0.846607,3.494773
4.302937,1.055394,3.452661
4.678166,1.263848,3.477555
5.051536,1.466272,3.425365
5.425187,1.669465,3.465631
5.804760,1.867994,3.476063
6.176453,2.080801,3.485483
6.536000,2.309345,3.462289
6.808725,2.483565,3.166793
6.897523,2.530773,2.683900
7.091494,2.698263,2.454353
7.290748,2.967459,2.706282
7.382364,3.248987,3.023829
7.467582,3.611329,3.227904
7.509777,4.022074,3.367069
7.527361,4.437597,3.306704
7.487054,4.855256,3.346120
7.342290,5.253128,3.440201
7.209981,5.590092,3.242424
7.069036,5.865185,2.950627
6.857825,6.219156,2.839514
6.574907,6.511946,2.968694
6.266452,6.711053,3.193564
5.886254,6.863339,3.310812
5.510797,6.978522,3.174943
5.125404,7.020186,3.012256
4.713271,6.942728,3.056964
4.340100,6.760078,3.160858
4.026454,6.500256,3.285205
3.771603,6.170792,3.381901
3.543732,5.812205,3.414814
3.392267,5.569105,3.096845
3.298611,5.358545,2.765907
3.152823,4.945810,2.841209
3.135735,4.595687,3.078813
3.166402,4.162247,3.059151
3.134178,3.747888,3.078234
2.973657,3.350135,3.064022
2.741566,3.004927,2.947735
2.447441,2.735333,3.068373
2.060171,2.586395,3.236588
1.625109,2.560273,3.238043
1.259035,2.601072,3.063912
0.917949,2.643467,2.792544
0.503610,2.630389,2.551744
0.104626,2.601407,2.588595
-0.185927,2.643892,2.935811
-0.510498,2.825722,2.955900
-0.887750,3.034963,2.881646
-1.272853,3.133910,3.071198
-1.674412,3.108145,3.233813
-2.087505,3.018238,3.305216
-2.505944,2.932237,3.338455
-2.929615,2.862960,3.348970
-3.337075,2.746138,3.400620
-3.721744,2.564429,3.451615
-4.095879,2.356685,3.471727
-4.469270,2.146852,3.484004
-4.845882,1.943512,3.487311
-5.215886,1.723836,3.501028
-5.565820,1.499794,3.441265
-5.909719,1.279798,3.277716
-6.267945,1.075389,3.325499
-6.667868,0.920473,3.403054
-6.981312,0.801051,3.262941
-7.240962,0.662636,2.931120
-7.529449,0.371031,3.000899
-7.681427,0.052319,3.230284
-7.824514,-0.354730,3.196394
-7.895626,-0.766931,3.280373
-7.844132,-1.177873,3.383948
-7.756834,-1.596233,3.418604
-7.655187,-2.010956,3.450826
-7.518115,-2.416878,3.475478
-7.364768,-2.814054,3.467629
-7.178025,-3.194170,3.358937
-7.044994,-3.399124,3.021345
-6.813398,-3.619553,2.766888
-6.491971,-3.763358,2.999711
-6.136079,-3.804411,3.230735
-5.727725,-3.763726,3.350661
-5.319288,-3.669527,3.430656
-4.912618,-3.531654,3.448401
-4.510054,-3.388531,3.475035
-4.113192,-3.227607,3.485458
-3.726748,-3.042918,3.492327
-3.343454,-2.851547,3.496085
-2.959767,-2.660934,3.497635
-2.575553,-2.471389,3.498693
-2.193094,-2.278320,3.499274
-1.810047,-2.086570,3.499560
-1.422246,-1.904432,3.499755
-1.038981,-1.712923,3.499867
-0.661793,-1.509798,3.499927
-0.285727,-1.304610,3.499960
0.095056,-1.108206,3.499976
0.474852,-0.909968,3.499988
0.853782,-0.710066,3.499994
1.236220,-0.516942,3.499996
1.615448,-0.317621,3.499998
1.993644,-0.116319,3.500000
